date,symbol,weight,expected_holdings,holdings_date,actual_weight,actual_lag,has_actual
2025-12-04,BNB,0.046550708306927,2025-12-06,2025-12-06,0.044338673078472085,2.0,True
2025-12-04,BTC,0.05459665429497821,2025-12-06,2025-12-06,0.052854170204436494,2.0,True
2025-12-04,COMP,-0.03025656771273099,2025-12-06,2025-12-06,-0.0,2.0,True
2025-12-04,DOGE,-0.014636589178846991,2025-12-06,2025-12-06,-0.011473579900938818,2.0,True
2025-12-04,ENA,-0.014501756766784592,2025-12-06,2025-12-06,-0.011071384722270176,2.0,True
2025-12-04,ETH,0.0470226217491454,2025-12-06,2025-12-06,0.05136709340078425,2.0,True
2025-12-04,FET,-0.022210621724679785,2025-12-06,2025-12-06,-0.014800302458890127,2.0,True
2025-12-04,FIL,-0.03451549742786579,2025-12-06,2025-12-06,-0.024686382942654003,2.0,True
2025-12-04,HBAR,0.0020620486515362,2025-12-06,,0.0,,False
2025-12-04,LINK,0.0407016433824744,2025-12-06,2025-12-06,0.0,2.0,True
2025-12-04,LTC,0.020957567545518006,2025-12-06,2025-12-06,0.021356403530088296,2.0,True
2025-12-04,NEAR,0.02812710285516361,2025-12-06,2025-12-06,0.025526633855695365,2.0,True
2025-12-04,PAXG,0.012507124321279603,2025-12-06,2025-12-06,0.01268003737249961,2.0,True
2025-12-04,PENGU,-0.052939102879629184,2025-12-06,2025-12-06,-0.04678714272926997,2.0,True
2025-12-04,PUMP,-0.0031128542126043976,2025-12-06,2025-12-06,0.009607635736172081,2.0,True
2025-12-04,SOL,0.0421569461797298,2025-12-06,2025-12-06,0.014700844095307242,2.0,True
2025-12-04,STRK,-0.020755318927424393,2025-12-06,2025-12-06,-0.011370378037850038,2.0,True
2025-12-04,SUI,-0.03225120015823599,2025-12-06,2025-12-06,-0.031018529432129606,2.0,True
2025-12-04,TAO,0.06091763266164919,2025-12-06,2025-12-06,0.05598792977638683,2.0,True
2025-12-04,TIA,-0.02880126491547559,2025-12-06,2025-12-06,-0.022069905797396223,2.0,True
2025-12-04,TNSR,-0.05679353535857679,2025-12-06,2025-12-06,-0.05113762551914545,2.0,True
2025-12-04,TRX,0.013962427118535006,2025-12-06,2025-12-06,0.0,2.0,True
2025-12-04,TURBO,-0.05899041642217539,2025-12-06,2025-12-06,-0.0,2.0,True
